param alfa_L_a :=
1 0.99
2 0.99
3 0.99
4 0.99
5 0.95
6 0.95
7 0.95
8 0.95
9 0.99
10 0.99
11 0.99
12 0.99
13 0.95
14 0.95
15 0.95
16 0.95
17 0.99
18 0.99
19 0.99
20 0.99
21 0.95
22 0.95
23 0.95
24 0.95
25 0.99
26 0.99
27 0.99
28 0.99
29 0.95
30 0.95
31 0.95
32 0.95
;

param S_a :=
1	250
2	250
3	250
4	250
5	250
6	250
7	250
8	250
9	250
10	250
11	250
12	250
13	250
14	250
15	250
16	250
17	250
18	250
19	250
20	250
21	250
22	250
23	250
24	250
25	250
26	250
27	250
28	250
29	250
30	250
31	250
32	250
;

param h_a :=
1	1.25
2	1.25
3	1
4	1
5	1.25
6	1.25
7	1
8	1
9	0.6
10	0.6
11	0.1
12	0.1
13	0.6
14	0.6
15	0.1
16	0.1
17	1.25
18	1.25
19	1
20	1
21	1.25
22	1.25
23	1
24	1
25	0.6
26	0.6
27	0.1
28	0.1
29	0.6
30	0.6
31	0.1
32	0.1
;

param mu_a :=
1	200
2	150
3	200
4	150
5	200
6	150
7	200
8	150
9	200
10	150
11	200
12	150
13	200
14	150
15	200
16	150
17	50
18	10
19	50
20	10
21	50
22	10
23	50
24	10
25	50
26	10
27	50
28	10
29	50
30	10
31	50
32	10
;

param sigma_a :=
1	6400
2	3600
3	6400
4	3600
5	6400
6	3600
7	6400
8	3600
9	6400
10	3600
11	6400
12	3600
13	6400
14	3600
15	6400
16	3600
17	400
18	16
19	400
20	16
21	400
22	16
23	400
24	16
25	400
26	16
27	400
28	16
29	400
30	16
31	400
32	16
;

param L_a :=
1	2
2	2
3	2
4	2
5	2
6	2
7	2
8	2
9	2
10	2
11	2
12	2
13	2
14	2
15	2
16	2
17	2
18	2
19	2
20	2
21	2
22	2
23	2
24	2
25	2
26	2
27	2
28	2
29	2
30	2
31	2
32	2
; 
